stn,time,fkl010z0,fkl010z1,dkl010z0,dkl010z1,fkl010z3
13,201906151820,0.8,1.4,242,10000000,1.4
13,201906151830,0.8,1.1,353,10000000,1.1
13,201906151840,1.1,2.3,185,10000000,2.2
13,201906151850,0.5,1.6,156,10000000,1.6
13,201906151900,0.2,0.4,130,10000000,0.4
13,201906151910,0.1,0.3,130,10000000,0.3
13,201906151920,0.7,1.4,349,10000000,1.4
13,201906151930,0.4,0.8,292,10000000,0.8
13,201906151940,0.4,1.0,319,10000000,1.0
13,201906151950,1.1,1.5,8,10000000,1.5
13,201906152000,1.2,1.8,23,10000000,1.7
13,201906152010,0.7,1.9,17,10000000,1.9
13,201906152020,1.6,2.6,2,10000000,2.5
13,201906152030,1.7,2.4,10,10000000,2.4
13,201906152040,0.9,1.8,27,10000000,1.8
13,201906152050,0.9,1.6,51,10000000,1.6
13,201906152100,1.7,2.4,354,10000000,2.4
13,201906152110,1.6,2.8,360,10000000,2.7
13,201906152120,2.0,2.7,3,10000000,2.6
13,201906152130,1.0,2.1,18,10000000,2.1
13,201906152140,0.9,1.5,359,10000000,1.4
13,201906152150,0.7,1.6,14,10000000,1.5
13,201906152200,1.3,1.9,4,10000000,1.9
13,201906152210,1.1,1.8,16,10000000,1.8
13,201906152220,0.6,1.1,72,10000000,1.1
13,201906152230,1.0,1.5,355,10000000,1.5
13,201906152240,0.5,1.1,300,10000000,1.0
13,201906152250,0.6,1.3,351,10000000,1.3
13,201906152300,0.7,1.3,360,10000000,1.3
13,201906152310,0.4,0.8,106,10000000,0.8
13,201906152320,0.3,0.7,66,10000000,0.7
13,201906152330,0.5,1.2,118,10000000,1.2
13,201906152340,0.4,0.9,132,10000000,0.9
13,201906152350,0.3,0.5,25,10000000,0.5
38,201906150000,15.4,22.2,249,10000000,22.0
38,201906150010,14.4,22.7,247,10000000,21.3
38,201906150020,15.3,19.6,244,10000000,19.1
38,201906150030,15.3,19.1,240,10000000,18.8
38,201906150040,15.5,21.8,246,10000000,20.4
38,201906150050,15.4,21.6,241,10000000,19.7
38,201906150100,15.0,19.7,241,10000000,18.6
38,201906150110,12.9,18.1,242,10000000,16.9
38,201906150120,12.9,17.0,239,10000000,16.5
38,201906150130,10.4,15.3,240,10000000,15.2
38,201906150140,10.1,15.6,239,10000000,14.9
38,201906150150,10.1,14.2,239,10000000,13.1
38,201906150200,10.2,15.5,246,10000000,14.7
38,201906150210,11.9,14.7,247,10000000,14.6
38,201906150220,10.2,14.6,244,10000000,14.2
38,201906150230,10.9,17.4,238,10000000,16.8
38,201906150240,12.6,19.0,245,10000000,17.5
38,201906150250,13.6,17.8,242,10000000,17.4
38,201906150300,13.7,17.1,242,10000000,16.6
38,201906150310,13.4,16.2,243,10000000,15.9
38,201906150320,12.1,16.3,246,10000000,15.4
38,201906150330,12.2,14.6,246,10000000,14.4
38,201906150340,12.4,15.5,247,10000000,15.2
38,201906150350,12.3,14.9,250,10000000,14.8
38,201906150400,12.1,14.7,251,10000000,14.2
38,201906150410,12.7,14.8,248,10000000,14.4
38,201906150420,12.7,15.1,246,10000000,14.7
38,201906150430,12.2,14.9,246,10000000,14.9
38,201906150440,13.0,15.8,248,10000000,15.6
38,201906150450,12.4,15.1,250,10000000,14.8
38,201906150500,11.6,14.8,251,10000000,13.7
38,201906150510,10.0,13.2,250,10000000,12.8
38,201906150520,8.9,12.9,252,10000000,12.5
38,201906150530,6.7,10.2,258,10000000,9.8
38,201906150540,5.3,9.2,247,10000000,8.4
38,201906150550,6.7,8.9,245,10000000,8.4
38,201906150600,5.3,8.2,241,10000000,8.0
38,201906150610,5.4,9.0,238,10000000,8.7
38,201906150620,7.2,10.0,242,10000000,9.6
38,201906150630,7.6,10.0,245,10000000,9.6
38,201906150640,7.4,9.9,246,10000000,9.6
38,201906150650,6.6,9.1,241,10000000,8.9
