   854	Egolzwil                 522 m a.s.l.	642913/ 225541
    80	Gösgen                   380 m a.s.l.	640422/ 245949
    67	Buchs / Aarau            387 m a.s.l.	648396/ 248370
   842	Mosen                    453 m a.s.l.	660129/ 232852
    97	Werenlingen / PSI        334 m a.s.l.	659355/ 265381
    85	Beznau                   326 m a.s.l.	659812/ 267696
    93	Lägern                   845 m a.s.l.	672250/ 259460
    45	Ulrichen                1346 m a.s.l.	666748/ 150767
   867	Eggishorn               2892 m a.s.l.	650279/ 141897
   131	Binn                    1479 m a.s.l.	657996/ 135422
   866	Gornergrat              3129 m a.s.l.	626900/  92512
    41	Zermatt                 1638 m a.s.l.	624299/  97575
    19	Grächen                 1605 m a.s.l.	630739/ 116062
    64	Visp                     639 m a.s.l.	631151/ 128024
    20	Blatten, Lötschental    1538 m a.s.l.	629564/ 141084
    40	Montana                 1423 m a.s.l.	601709/ 127489
   317	Mottec                  1580 m a.s.l.	614325/ 110730
    88	Evolune / Villa         1825 m a.s.l.	605412/ 106748
    49	Sion                     482 m a.s.l.	591633/ 118584
   864	Les Attelas             2734 m a.s.l.	586855/ 105302
   506	Montagnier, Bagnes       839 m a.s.l.	583492/ 102189
    62	Col du Grand St-Bernard 2472 m a.s.l.	579192/  79754
   143	Les Maracottes           990 m a.s.l.	567375/ 107577
   865	Evionnaz                 482 m a.s.l.	568197/ 114693
   856	Les Diablerets          2964 m a.s.l.	581914/ 130622
   521	Col des Mosses          1412 m a.s.l.	573818/ 137852
    37	Aigle                    381 m a.s.l.	560405/ 130713
   268	Bouveret                 374 m a.s.l.	555264/ 138175
   205	Vevey / Corseaux         405 m a.s.l.	552106/ 146847
    61	Pully                    456 m a.s.l.	540819/ 151510
   331	St-Prex                  425 m a.s.l.	523549/ 148525
   849	Bière                    684 m a.s.l.	515888/ 153210
    31	La Dole                 1670 m a.s.l.	497060/ 142372
    76	Nyon / Changins          458 m a.s.l.	506878/ 139573
    58	Genève / Cointrin        411 m a.s.l.	498905/ 122632
    65	La Chaux-de-Fonds       1017 m a.s.l.	550919/ 214861
    39	Fahy                     596 m a.s.l.	562464/ 252675
    46	Piotta                   990 m a.s.l.	695880/ 152265
    92	Acquarossa / Comprovasco 575 m a.s.l.	714985/ 146451
   414	Matro                   2171 m a.s.l.	714263/ 140944
   415	Biasca                   278 m a.s.l.	718535/ 132792
    72	S. Bernardino           1639 m a.s.l.	734116/ 147294
    22	Grono                    324 m a.s.l.	733017/ 124090
    50	Magadino / Cadenazzo     203 m a.s.l.	715480/ 113162
    96	Robini                  1898 m a.s.l.	682588/ 144091
